,total_mismatches,distal_mismatches,proximal_mismatches,wt,hf1,enh,hypa
1652,1,1,0,1.125465732902223,0.34922030415978467,1.2202934326065735,1.0504543716364934
1653,1,1,0,1.1003694617680653,0.3208411258965938,0.5774575579286866,1.032505649490716
1654,1,1,0,1.2376525402912495,0.5625253509884897,0.6622968804210787,1.0298948772535252
1655,1,1,0,1.173204010290958,0.7348575925002337,1.0087135194690815,0.5814063345253452
1656,1,1,0,1.1463711300257857,0.0998998044088825,0.09333173450005311,0.10073764369598594
1657,1,1,0,1.1543081194316698,1.0720085755302722,0.9523176813619973,0.4194579684304152
1658,1,1,0,1.2102957814830126,0.4100489526606006,0.8569370016388056,0.1591538208254571
1659,1,1,0,1.1456357358372244,1.212505648243323,1.1658898596586278,0.9132056131753259
1660,1,1,0,1.1644506637937322,0.27174449808010964,0.4784856016714581,0.06342665732176624
1661,1,1,0,1.2428917389104368,1.116826578655855,1.1148192198072226,1.1865078885046874
1662,1,1,0,1.1047086476817911,0.11031826443568919,0.24758127013031564,0.020635786171507037
1663,1,1,0,1.126933965099962,0.4648164760518632,0.8775978871119672,0.09683780417888482
1709,2,2,0,1.0983775089036814,0.11569604429898588,0.07013626889746294,0.6364726143322917
1710,2,2,0,1.0983877825114472,0.05221399281080025,0.03934635446225188,0.02393177639855183
1711,2,2,0,0.855510150245949,0.04058775191612881,-0.001864311749752734,0.004948425609350969
1728,3,3,0,1.1016319833916102,0.07825406649990299,0.07104027518648919,0.08467570271392182
1729,3,3,0,0.31226513933926936,0.004310437962536454,0.0021589146872849035,0.0070789534745121134
1746,1,1,0,1.0657324163407518,1.188974141611112,1.409352889093619,1.1360397977615762
1747,1,1,0,0.9697489629568831,0.5172579674703216,0.8605916979120772,0.6921372470660353
1748,1,1,0,0.9635167441961918,0.3634205283548188,0.6377415036597737,0.7882857534439265
1749,1,1,0,0.8563289113190523,0.2546667643871545,0.9091316407634824,0.7857216402834231
1750,1,1,0,1.0594276973160963,0.08285644479738292,0.5967705053099522,0.7386647266109967
1751,1,1,0,0.9476227308783473,0.4328439961901739,0.739491111413153,0.7387259468725723
1752,1,1,0,1.0231152459541508,0.5020041747692906,0.9371720480872714,0.6270288254608999
1753,1,1,0,1.1770712202909719,0.07658100578204623,0.28994735452012477,0.1296728547833048
1755,1,1,0,0.9849613306654289,0.1260234069373309,0.4702231794171682,0.35790002946577043
1757,1,1,0,0.7700797613195776,0.2518251465861437,0.7257058780882532,0.30500343070863933
1758,1,1,0,0.9546022066453234,0.03469787511395382,0.5293978753684193,0.08436273281959046
1759,1,1,0,0.9997031819013464,0.029208938570229517,0.40196753823029246,0.026249577271337168
1806,2,2,0,1.027570239368678,0.29508550134591416,0.15623247377454458,0.912845311007849
1808,2,2,0,0.5823602612321845,0.001955752370025431,-0.006070798940992113,-0.04369137835621033
1843,1,1,0,1.0734955561308137,1.2979593076326095,1.2607325593333933,1.3093139024261051
1844,1,1,0,1.06938249685888,0.6723923422439148,0.9220922151940605,1.1693952834416348
1845,1,1,0,1.0378795000854695,0.6391929392456726,0.8862564847221978,1.0512961544986992
1846,1,1,0,1.1865463682862165,0.5350446673415292,1.0674927559907044,1.0465433502462955
1847,1,1,0,1.1221340874561658,0.34722470253428983,0.9055387217152179,1.0350406803720409
1848,1,1,0,1.0177950943663234,0.810517668858852,0.9541903210262453,1.1595654943200997
1849,1,1,0,1.2041855605034222,0.814122010629434,1.080100113916194,0.8923593920088313
1850,1,1,0,1.125022144835964,0.2820906724422,0.6578885714481346,0.33019161272679215
1852,1,1,0,1.0260595914147954,0.526549264369573,0.7719336464643307,0.7000776457125198
1853,1,1,0,1.1417898856738828,0.10513337065635507,0.19354054181309432,0.025408216003725864
1854,1,1,0,1.087455039034293,0.7582606709940657,0.9488714311439985,0.7276478264280835
1855,1,1,0,1.1721191185892021,0.188207042064751,0.792671070996466,0.2319705690503335
1856,1,1,0,1.1484403527233258,0.10943525801794722,0.7297282741063819,0.05376351924028196
1857,1,1,0,1.0910746470252628,0.11944418335747507,0.8864268675149214,0.24095375785903686
1903,2,2,0,1.174002596008417,0.7538006872125559,0.4560631455527487,1.1450092817636208
1940,1,1,0,1.3146306824391707,0.9962567436700839,1.21804161179944,1.2207368639420626
1941,1,1,0,1.3700169875424693,0.7010973585083292,0.7883547379440677,1.1163105102485829
1942,1,1,0,1.3611363901860445,0.32403455475809734,0.6712350296571445,0.7801631890284995
1943,1,1,0,1.4215699565036957,0.07805424004955475,0.5295474264875721,0.5970474018385789
1945,1,1,0,1.2615636148792393,0.041050267172565255,0.1728673444623963,0.36924089275119504
1946,1,1,0,1.310112359550562,0.021372421336460425,0.3118167895089499,0.06700432689857025
1947,1,1,0,1.3315754426725124,0.1561986823615309,0.12413223771553804,0.13038102240919547
1950,1,1,0,1.4762499860471239,0.021902337027132353,0.09660462266513749,0.04426418523053629
1952,1,1,0,1.222222397198852,0.050974165966723,0.3253300923471102,0.09954274953140863
1953,1,1,0,1.182804992806025,0.0844420719999686,0.297185599352337,0.08144379119566686
1954,1,1,0,1.3911072692603488,0.09295626506463453,0.30133625869913067,0.12218627048293867
2000,2,2,0,1.2797664167829752,0.0072676625143672765,0.01257174668688594,0.4845812576579345
2001,2,2,0,0.33497176526446476,0.005571972183884882,0.006874116375342246,0.02905726939083125
2003,2,2,0,0.5275112623300446,0.03205227327128218,0.0053343308197493795,0.019254738526714277
2019,3,3,0,0.28674036722247664,0.010173618891566767,-0.0001460464893853803,0.07167941240305033
2037,1,1,0,1.5948008935358144,1.1962704115355036,1.3532743413026669,1.476340021683191
2038,1,1,0,1.6345557402944046,0.98043586732813,1.0753842936474831,1.3075415582587038
2039,1,1,0,1.4593116935510015,0.6526845943215689,0.9947798838209926,1.1948047889464195
2040,1,1,0,1.6220451249677983,0.35244422120041413,0.9551104700260777,1.0188131187456213
2041,1,1,0,1.454104183817957,0.06363806194130275,0.14206083226266752,0.7484188894122524
2042,1,1,0,1.4987463226675564,0.1572255540801409,0.4177292241530312,0.8254394199000452
2043,1,1,0,1.4483749816928961,0.166012987550033,0.619942356078584,0.24295254837867367
2044,1,1,0,1.4266562646325283,0.4445326740802629,0.42131433471602486,0.37393973258309
2045,1,1,0,1.5082145201499535,0.016757657796432263,0.03964432002698524,0.045561499326182336
2047,1,1,0,1.3105101870151799,0.049529277742816166,0.20288562872856453,0.06857415777556534
2049,1,1,0,1.5068375283550823,0.1879320706722282,0.6744814413172318,0.13354376726059067
2050,1,1,0,1.4651719438987705,0.24710514470782197,0.6591495433636269,0.1877400924113846
2051,1,1,0,1.565071294104158,0.291224312170892,0.801477627387318,0.16877551370822952
2097,2,2,0,1.3487968517976217,0.04804933958894932,0.09179895816516422,0.8756491886672848
2098,2,2,0,0.5984699178505688,0.0031572981009055645,0.02677911272979296,0.04248978299236442
2099,2,2,0,0.5674107556334838,0.017289251197488104,-0.014235264043923269,0.016947882215284767
2116,3,3,0,0.7179550543946549,0.008701130388659413,-0.04756735268215029,0.1884842517503103
2117,3,3,0,0.21496483973768077,0.010520506920621809,0.0,0.03387378274157434
2328,1,1,0,0.9524765862786153,1.036502346368715,0.6592670725346875,1.7363241821965945
2329,1,1,0,1.086393500700688,0.21302304452611584,0.03656641650076421,0.7548396775358426
2330,1,1,0,0.714055517506636,0.13958035010448078,0.1028416580074822,0.5568073531148106
2331,1,1,0,0.8673537178510587,0.07032497376396395,0.10904345875887203,0.452791320828704
2333,1,1,0,0.825925502431487,0.01980004398576165,0.0320308566112802,0.5495545190711353
2334,1,1,0,0.762776364166632,0.022642977886638837,-0.006159006005462505,-0.010379582853588792
2335,1,1,0,0.8996587144186643,0.03874390892962744,0.06386841901910233,0.08943216242346116
2336,1,1,0,0.850492656257226,0.1313608880491261,0.19352790644112638,0.04179082783612962
2337,1,1,0,0.9398448617456202,0.04469858789157604,0.020117258563105426,0.08974063081754222
2338,1,1,0,0.4677921319547333,0.006092977675021316,-0.004925590106515389,0.010095690599068041
2339,1,1,0,0.46964063854587934,0.03626477761003369,0.008385817782144943,0.125341105658144
2340,1,1,0,0.9422870858061788,0.04978816278071084,0.11501353673892421,0.0427040683906033
2341,1,1,0,0.9451409187835039,0.04242438182863715,0.06029571117966554,-0.03559797618258544
2388,2,2,0,0.8362629992300936,0.05637545564644514,0.03236385276656953,0.317457767060158
2389,2,2,0,0.40244077419110463,0.03854718074312504,0.005320228171199167,0.004784568259906069
2407,3,3,0,0.4232726015263107,0.04665099231181834,0.00016496006887038546,-0.04725706828762637
2408,3,3,0,0.009337215340108306,0.008442257491907697,0.0018443350113288189,0.07268525390096858
2425,1,1,0,1.400189037369941,1.5972428018908464,1.0897105731444001,2.7564821346828903
2426,1,1,0,1.4548185196492671,0.9273345929815875,0.28783317291590227,1.9282797841697354
2427,1,1,0,1.2331131139044842,0.5074402332361516,0.3892080011325348,1.6010979351550978
2428,1,1,0,1.4093476975361696,0.4124787212787213,0.3625208616172185,0.9642143511523591
2429,1,1,0,1.5379118704429189,0.3237818181818182,0.08328591223453223,0.9820398212108897
2430,1,1,0,1.437644165984887,0.21834283175475086,0.03745835677266907,0.8921325303493225
2431,1,1,0,1.3281671300427487,0.07154497577417317,0.015477324030852294,0.1055025557711279
2432,1,1,0,1.424181383088841,0.14112967753472017,0.1212020429527563,0.0833216239133068
2433,1,1,0,1.37149524158854,0.32868435013262604,0.41213572399689063,0.007397253132642038
2434,1,1,0,1.387189845392549,0.24703731911652702,0.1800553985892732,0.0578934933670648
2435,1,1,0,0.9431046592535581,0.0016702219314532665,0.02204178239612284,0.04135948022448512
2437,1,1,0,1.3245927007197538,0.20123064967879206,0.2162536172554822,0.1118734864488582
2438,1,1,0,1.0920733280136345,0.06979268420500996,0.07879473533124269,0.088539617505291
2439,1,1,0,1.4029641668816621,0.2949708328712432,0.4841847145995869,0.04759359009306409
2485,2,2,0,1.1203591821119676,0.12353151889716496,0.061518606988911456,0.8551660631285641
2486,2,2,0,0.8186103305229633,0.014994268567141786,0.006988689421345764,0.14823179537707573
2504,3,3,0,0.9614618482069153,0.0017156269705957976,0.002932865775745631,0.02510280025995005
2522,1,1,0,1.0188390211721285,2.157507382973344,0.43569147530814556,2.806570755202903
2525,1,1,0,1.0083187300367529,0.19900811289762316,0.014938599253294951,-0.16427616151438462
2528,1,1,0,1.1315478371749503,0.11358488000069486,0.08662711466165414,-0.4019071635639191
2531,1,1,0,0.9523732710581452,0.0942481889134751,0.0056224492231318176,0.063876162059224
2532,1,1,0,0.9953506963809924,0.4655838715536611,0.19410243133411312,0.3850583585807353
2536,1,1,0,0.7542031680664345,0.14002679097075618,-0.019471153846153846,-0.22274439703225313
2619,1,1,0,1.3439108040490915,8.147121994708955,1.0716999067364947,8.843750845231053
2620,1,1,0,1.3006486019204782,0.752733738948493,0.06252782524361519,4.1326105673243205
2621,1,1,0,1.1410901000158364,1.1493758208682745,0.07853185595567867,5.0986085904416205
2622,1,1,0,1.3994863880919224,1.5132022771496354,0.03934569249957982,1.6720868022902378
2623,1,1,0,1.2128064851306484,0.29370427140812067,0.03634098603690455,5.335855100268369
2624,1,1,0,1.2417644506414798,0.5866213188418212,0.03560737322445618,3.3379721921269447
2625,1,1,0,1.3527557237342687,1.536791511749146,0.2021024644688169,0.42084767549906443
2626,1,1,0,1.4367111398788364,0.5838873966700867,0.06862948588018182,0.7117490153630004
2627,1,1,0,1.316759276941623,0.2685323589551271,-0.012556589629196223,0.7005894636538115
2628,1,1,0,1.260529450981705,0.42777081691593005,0.044459647881461756,0.20002491199650466
2629,1,1,0,1.2973354055747437,1.40749176313416,0.41970626241993547,0.9368581220567811
2631,1,1,0,1.2235886760993273,0.2773973444301471,0.14662687757897644,-0.3684983348888311
2632,1,1,0,1.0927216565937268,0.19196850315528463,0.0233028796588751,-0.11718408068782425
2633,1,1,0,0.9694442007764519,0.9787475449732537,0.015762362637362637,-0.029576019522954754
2679,2,2,0,1.0990198272840404,0.47218130756220195,0.006939581315652237,2.1850448302043217
2682,2,2,0,0.14454167783684013,0.25344612588106824,-0.012987082066869306,-0.10126473448564365
2698,3,3,0,0.9683003424886909,0.21191556925894517,0.035789577967109173,-0.019052891977369552
2716,1,1,0,1.0553152782116404,0.95065446202572,1.0576320425890577,2.5426801305394346
